Data, Macchina, Messaggio

02-08-2025 16-46-27,SKIP - SISCO,Processo di retrain SKIP completato per il modello A. Esito: NEGATIVE | Δ performance %: 0.00%
02-08-2025 16-46-30,SKIP - SISCO,Processo di retrain SKIP completato per il modello B. Esito: NEGATIVE | Δ performance %: 0.00%
02-08-2025 16-58-15,SKIP - SISCO,Processo di retrain SKIP completato per il modello A. Esito: NEGATIVE | Δ performance %: -10.00%
02-08-2025 16-58-41,SKIP - SISCO,Processo di retrain SKIP completato per il modello B. Esito: NEGATIVE | Δ performance %: -7.27%
02-08-2025 20-34-33,SKIP - SISCO,Processo di retrain SKIP completato per il modello A. Esito: NEGATIVE | Δ performance %: -10.00%
02-08-2025 20-34-34,SKIP - SISCO,Processo di retrain SKIP completato per il modello B. Esito: NEGATIVE | Δ performance %: -7.53%
04-08-2025 13-11-34,SKIP - SISCO,No blacklist were found; left hand side processed for model: A. Check for components changes.
04-08-2025 13-12-06,SKIP - SISCO,No blacklist were found; left hand side processed for model: B. Check for components changes.
04-08-2025 14-53-44,SKIP - SISCO,No blacklist were found; left hand side processed for model: A. Check for components changes.
04-08-2025 14-54-23,SKIP - SISCO,No blacklist were found; left hand side processed for model: B. Check for components changes.
13-08-2025 18-54-01,SKIP - FR3,Processo di retrain SKIP completato per il modello A. Esito: NEGATIVE | Δ performance %: -2.15%
13-08-2025 18-54-02,SKIP - FR3,Processo di retrain SKIP completato per il modello B. Esito: POSITIVE | Δ performance %: 35.60%
14-08-2025 15-33-24,SKIP - FR3,Processo di retrain SKIP completato per il modello A. Esito: NEGATIVE | Δ performance %: -2.69%
14-08-2025 15-33-26,SKIP - FR3,Processo di retrain SKIP completato per il modello B. Esito: POSITIVE | Δ performance %: 24.89%
19-08-2025 18-16-09,SKIP - FR3,Processo di retrain SKIP completato per il modello A. Esito: NEGATIVE | Δ performance %: -5.92%
19-08-2025 18-21-47,SKIP - FR3,Processo di retrain SKIP completato per il modello B. Esito: NEGATIVE | Δ performance %: -2.43%
08-09-2025 17-40-48,SKIP - FR3,Processo di retrain SKIP completato per il modello A. Esito: NEGATIVE | Δ performance %: -2.35%
08-09-2025 17-41-57,SKIP - FR3,Processo di retrain SKIP completato per il modello B. Esito: POSITIVE | Δ performance %: 38.04%
